number,name_stopping,clean_name,pos_vys,po_treb,changed,longitude,latitude
1,"ПР. АВИАКОНСТРУКТОРОВ, 47","ПР. АВИАКОНСТРУКТОРОВ, 47",,False,False,30.22264,60.027851
2,"ПР. АВИАКОНСТРУКТОРОВ, 32","ПР. АВИАКОНСТРУКТОРОВ, 32",,False,False,30.221964,60.027507
3,"ПОНТОННЫЙ, ВОКЗАЛ","ПОС. ПОНТОННЫЙ, ВОКЗАЛ",,False,True,30.627792,59.785067
4,ДОРОГА НА КОЛПИНО,ДОР. НА КОЛПИНО,,False,True,30.653787,59.775908
5,"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ","Г. ОТРАДНОЕ, СУДОРЕМ. МАСТЕРСКИЕ",,False,True,30.765173,59.760005
6,"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ","Г. ОТРАДНОЕ, СУДОРЕМ. МАСТЕРСКИЕ",,False,True,30.76351,59.76015
7,ДОРОГА НА КОЛПИНО,ДОР. НА КОЛПИНО,,False,True,30.654334,59.776227
8,"ПОНТОННЫЙ, ВОКЗАЛ","ПОС. ПОНТОННЫЙ, ВОКЗАЛ",,False,True,30.626471,59.785698
9,СЧАСТЛИВАЯ УЛ.,СЧАСТЛИВАЯ УЛ.,,False,False,30.270596,59.84617
10,УЛ РИХАРДА ЗОРГЕ УГ УЛ ДОБЛЕСТИ,"УЛ. РИХАРДА ЗОРГЕ, УГ. УЛ. ДОБЛЕСТИ",,False,True,30.178328,59.850624
11,СЕВЕРНЫЙ ПР.,СЕВЕРНЫЙ ПР.,,False,False,30.36443,60.031565
12,"ПРЕДПОРТОВАЯ УЛ., 10","ПРЕДПОРТОВАЯ УЛ., 10",,False,False,30.306151,59.832158
13,СТ. ПРЕДПОРТОВАЯ,"Ж.-Д. СТ. ""ПРЕДПОРТОВАЯ""",,False,True,30.29568,59.832179
14,ЗАМШИНА УЛ.,ЗАМШИНА УЛ.,,False,False,30.393806,59.966858
